id_oferta;nome_produto;marca;linha;modelo;ram;armazenamento;conectividade;cor;condicao;loja;vendedor;preco;moeda;forma_pagamento;disponibilidade;beneficio_condicional;url;categoria;termo_pesquisado;data_coleta;origem_dados
MOCK-070;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto;Samsung;Galaxy A;Galaxy A15;4;128 GB;5G;Preto;Novo;Magazine Luiza;;R$ 925,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-070;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-013;Smartphone Samsung Galaxy A35 5G 128GB 6GB RAM Preto;Samsung;Galaxy A;Galaxy A35;6;128 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 1.799,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-013;Smartphones;Samsung Galaxy A35 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-049;Smartphone Samsung Galaxy S24 FE 5G 256GB 8GB RAM Preto;Samsung;Galaxy S;Galaxy S24 FE;8;256 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 3.399,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-049;Smartphones;Samsung Galaxy S24 FE 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-031;Smartphone Samsung Galaxy S23 5G 128GB 8GB RAM Preto;Samsung;Galaxy S;Galaxy S23;8;128 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 2.888,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-031;Smartphones;Samsung Galaxy S23 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-061;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto;Samsung;Galaxy A;Galaxy A15;4;128 GB;5G;Preto;Novo;Magazine Luiza;Parceiro Fictício Alfa;R$ 925,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-061;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-009;SMARTPHONE SAMSUNG GALAXY A25 5G 128GB 6GB RAM PRETO;samsung;Galaxy A;Galaxy A25;6;128 GB;5G;Preto;NOVO;Samsung;Loja Samsung;  R$ 1.375,90  ;BRL; pix ; disponível ;Nenhum;https://samsung.example/ofertas/mock-009;Smartphones;Samsung Galaxy A25 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-016;Smartphone Samsung Galaxy A35 5G 128GB 6GB RAM Preto;Samsung;Galaxy A;Galaxy A35;6 GB;128GB;5G;Preto;Novo;Casas Bahia;CASAS BAHIA;1688.90;BRL;Pix;Disponível;Nenhum;https://casas-bahia.example/ofertas/mock-016;Smartphones;Samsung Galaxy A35 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-018;Smartphone Samsung Galaxy A35 5G 128GB 6GB RAM Preto;samsung;Galaxy A;Galaxy A35;6 GB;128GB;5G;Preto;NOVO;Fast Shop;FAST SHOP; 1.762,90 ;BRL; pix ; disponível ;Nenhum;https://fast-shop.example/ofertas/mock-018;Smartphones;Samsung Galaxy A35 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-053;  Smartphone  Samsung  Galaxy  S24  FE  5G  256GB  8GB  RAM  Preto  ; SAMSUNG ;Galaxy S;Galaxy S24 FE;8;256 GB;5G;Preto; novo ;Amazon Brasil;Amazon.com.br;R$ 3.325,90 no Pix;BRL;PIX;Em estoque;Nenhum;https://amazon.example/ofertas/mock-053;Smartphones;Samsung Galaxy S24 FE 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-068;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto;Samsung;Galaxy A;Galaxy A15;4;128 GB;5G;Preto;Novo;Magazine Luiza;Magalu;Consulte;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-068;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-014;Smartphone Samsung Galaxy A35 5G 128GB 6GB RAM Preto; SAMSUNG ;Galaxy A;Galaxy A35;6 GB;128GB;5G;Preto; novo ;KaBuM!;Kabum;1.836,90;BRL;PIX;Em estoque;Nenhum;https://kabum.example/ofertas/mock-014;Smartphones;Samsung Galaxy A35 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-062;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto;Samsung;Galaxy A;Galaxy A15;4;128 GB;5G;Preto;Novo;Magazine Luiza;Parceiro Fictício Beta;R$ 925,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-062;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-051;SMARTPHONE SAMSUNG GALAXY S24 FE 5G 256GB 8GB RAM PRETO;samsung;Galaxy S;Galaxy S24 FE;8;256 GB;5G;Preto;NOVO;Samsung;Loja Samsung;  R$ 3.251,90  ;BRL; pix ; disponível ;Nenhum;https://samsung.example/ofertas/mock-051;Smartphones;Samsung Galaxy S24 FE 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-029;  Smartphone  Samsung  Galaxy  A55  5G  256GB  8GB  RAM  Preto  ; SAMSUNG ;Galaxy A;Galaxy A55;8;256 GB;5G;Preto; novo ;Amazon Brasil;Amazon.com.br;R$ 2.238,90 no Pix;BRL;PIX;Em estoque;Nenhum;https://amazon.example/ofertas/mock-029;Smartphones;Samsung Galaxy A55 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-041;  Smartphone  Samsung  Galaxy  S23  FE  5G  128GB  8GB  RAM  Preto  ; SAMSUNG ;Galaxy S;Galaxy S23 FE;8;128 GB;5G;Preto; novo ;Amazon Brasil;Amazon.com.br;R$ 2.673,90 no Pix;BRL;PIX;Em estoque;Nenhum;https://amazon.example/ofertas/mock-041;Smartphones;Samsung Galaxy S23 FE 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-012;Smartphone Samsung Galaxy A25 5G 128GB 6GB RAM Preto;samsung;Galaxy A;Galaxy A25;6 GB;128GB;5G;Preto;NOVO;Fast Shop;FAST SHOP; 1.486,90 ;BRL; pix ; disponível ;Nenhum;https://fast-shop.example/ofertas/mock-012;Smartphones;Samsung Galaxy A25 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-004;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto;Samsung;Galaxy A;Galaxy A15;4 GB;128GB;5G;Preto;Novo;Casas Bahia;CASAS BAHIA;1036.90;BRL;Pix;Disponível;Nenhum;https://casas-bahia.example/ofertas/mock-004;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-056;Smartphone Samsung Galaxy S24 Ultra 5G 256GB 12GB RAM Preto; SAMSUNG ;Galaxy S;Galaxy S24 Ultra;12 GB;256GB;5G;Preto; novo ;KaBuM!;Kabum;6.073,90;BRL;PIX;Em estoque;Nenhum;https://kabum.example/ofertas/mock-056;Smartphones;Samsung Galaxy S24 Ultra 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-017;  Smartphone  Samsung  Galaxy  A35  5G  128GB  6GB  RAM  Preto  ; SAMSUNG ;Galaxy A;Galaxy A35;6;128 GB;5G;Preto; novo ;Amazon Brasil;Amazon.com.br;R$ 1.725,90 no Pix;BRL;PIX;Em estoque;Nenhum;https://amazon.example/ofertas/mock-017;Smartphones;Samsung Galaxy A35 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-027;SMARTPHONE SAMSUNG GALAXY A55 5G 256GB 8GB RAM PRETO;samsung;Galaxy A;Galaxy A55;8;256 GB;5G;Preto;NOVO;Samsung;Loja Samsung;  R$ 2.386,90  ;BRL; pix ; disponível ;Nenhum;https://samsung.example/ofertas/mock-027;Smartphones;Samsung Galaxy A55 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-036;Smartphone Samsung Galaxy S23 5G 128GB 8GB RAM Preto;samsung;Galaxy S;Galaxy S23;8 GB;128GB;5G;Preto;NOVO;Fast Shop;FAST SHOP; 2.851,90 ;BRL; pix ; disponível ;Nenhum;https://fast-shop.example/ofertas/mock-036;Smartphones;Samsung Galaxy S23 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-025;Smartphone Samsung Galaxy A55 5G 256GB 8GB RAM Preto;Samsung;Galaxy A;Galaxy A55;8;256 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 2.312,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-025;Smartphones;Samsung Galaxy A55 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-032;Smartphone Samsung Galaxy S23 5G 128GB 8GB RAM Preto; SAMSUNG ;Galaxy S;Galaxy S23;8 GB;128GB;5G;Preto; novo ;KaBuM!;Kabum;2.925,90;BRL;PIX;Em estoque;Nenhum;https://kabum.example/ofertas/mock-032;Smartphones;Samsung Galaxy S23 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-063;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto;Samsung;Galaxy A;Galaxy A15;4;128 GB;5G;Preto;Usado;Magazine Luiza;Magalu;R$ 925,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-063;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-055;Smartphone Samsung Galaxy S24 Ultra 5G 256GB 12GB RAM Preto;Samsung;Galaxy S;Galaxy S24 Ultra;12;256 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 6.036,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-055;Smartphones;Samsung Galaxy S24 Ultra 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-039;SMARTPHONE SAMSUNG GALAXY S23 FE 5G 128GB 8GB RAM PRETO;samsung;Galaxy S;Galaxy S23 FE;8;128 GB;5G;Preto;NOVO;Samsung;Loja Samsung;  R$ 2.599,90  ;BRL; pix ; disponível ;Nenhum;https://samsung.example/ofertas/mock-039;Smartphones;Samsung Galaxy S23 FE 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-066;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto;Samsung;Galaxy A;Galaxy A15;4;128 GB;5G;Preto;Novo;Magazine Luiza;Magalu;;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-066;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
