termo_busca,id,sku,nome,produto_grupo,product_group_id,fabricante,gtin,preco,preco_lista,preco_minimo,estoque,vendedor,imagem,slug,voltagem,cor
galaxy s26,167327,167327,"Smartphone Samsung Galaxy S26 5G Tela 6.3"" 256GB Câmera 50MP Violeta / Bivolt","Smartphone Samsung Galaxy S26 5G Tela 6.3"" 256GB Câmera 50MP",157112,SAMSUNG,7892509147552,5940.63,6387.77,5940.63,https://schema.org/InStock,cnl222,https://fastshopbr.vtexassets.com/arquivos/ids/4471278/17749033630275.jpg?v=639105011688670000,smartphone-samsung-galaxy-s26-5g-tela-6-3--256gb-camera-50mp-157112-167327,Bivolt,Violeta
galaxy s26,170521,170521,"Smartphone Samsung Galaxy S26 Ultra 5G Tela 6.9"" 256GB Câmera Quadrupla 200MP Violeta / Bivolt","Smartphone Samsung Galaxy S26 Ultra 5G Tela 6.9"" 256GB Câmera Quadrupla 200MP",160410,SAMSUNG,7892509147828,9815.64,10554.45,9815.64,https://schema.org/InStock,cnl222,https://fastshopbr.vtexassets.com/arquivos/ids/4646704/17749057447893.jpg?v=639124783648170000,smartphone-samsung-galaxy-s26-ultra-5g-tela-6-9--256gb-camera-quadrupla-200mp-160410-170521,Bivolt,Violeta
galaxy s26,167325,167325,"Smartphone Samsung Galaxy S26 5G Tela 6.3"" 256GB Câmera 50MP Violeta / Bivolt","Smartphone Samsung Galaxy S26 5G Tela 6.3"" 256GB Câmera 50MP",157100,SAMSUNG,7892509147552,5940.63,7723.62,5940.63,https://schema.org/InStock,cnl223,https://fastshopbr.vtexassets.com/arquivos/ids/4522304/17755033580506.jpg?v=639111007432630000,smartphone-samsung-galaxy-s26-5g-tela-6-3--256gb-camera-50mp-157100-167325,Bivolt,Violeta
galaxy s26,170508,170508,"Smartphone Samsung Galaxy S26 Ultra 5G Tela 6.9"" 256GB Câmera Quadrupla 200MP Violeta / Bivolt","Smartphone Samsung Galaxy S26 Ultra 5G Tela 6.9"" 256GB Câmera Quadrupla 200MP",160397,SAMSUNG,7892509147828,9815.64,11497.54,9815.64,https://schema.org/InStock,cnl223,https://fastshopbr.vtexassets.com/arquivos/ids/4646581/17749057370416.jpg?v=639124783635170000,smartphone-samsung-galaxy-s26-ultra-5g-tela-6-9--256gb-camera-quadrupla-200mp-160397-170508,Bivolt,Violeta
galaxy s26,170513,170513,"Smartphone Samsung Galaxy S26+ 5G Tela 6.7"" 256GB Câmera 50MP Violeta / Bivolt","Smartphone Samsung Galaxy S26+ 5G Tela 6.7"" 256GB Câmera 50MP",160403,SAMSUNG,7892509147446,8555.08,9199.01,8555.08,https://schema.org/InStock,cnl223,https://fastshopbr.vtexassets.com/arquivos/ids/4646592/17749053438804.jpg?v=639124783636470000,smartphone-samsung-galaxy-s26--5g-tela-6-7--256gb-camera-50mp-160403-170513,Bivolt,Violeta
galaxy s26,170511,170511,"Smartphone Samsung Galaxy S26+ 5G Tela 6.7"" 256GB Câmera 50MP Violeta / Bivolt","Smartphone Samsung Galaxy S26+ 5G Tela 6.7"" 256GB Câmera 50MP",160400,SAMSUNG,7892509147446,8555.08,9199.01,8555.08,https://schema.org/InStock,cnl222,https://fastshopbr.vtexassets.com/arquivos/ids/4646617/17749053421968.jpg?v=639124783638100000,smartphone-samsung-galaxy-s26--5g-tela-6-7--256gb-camera-50mp-160400-170511,Bivolt,Violeta
galaxy s25,143884,143884,"Smartphone Samsung Galaxy S25 5G Prata 256GB, Tela de 6.2"", 12GB RAM, AI Inteligência Artificial, IP68, Processador Snapdragon 8 Elite e Câmera Tripla","Smartphone Samsung Galaxy S25 5G Prata 256GB, Tela de 6.2"", 12GB RAM, AI Inteligência Artificial, IP68, Processador Snapdragon 8 Elite e Câmera Tripla",135374,SAMSUNG,7892509139830,4648.96,5376.6,4648.96,https://schema.org/InStock,cnl223,https://fastshopbr.vtexassets.com/arquivos/ids/4090563/17714331425336.jpg?v=639070299578030000,smartphone-samsung-galaxy-s25-5g-prata-256gb-tela-de-6-2-12gb-ram-ai-inteligencia-artificial-ip68-processador-snapdragon-8-elite-e-camera-tripla-135374-143884,Bivolt,
galaxy s25,143921,143921,"Smartphone Samsung Galaxy S25 Ultra Titânio Preto 256GB, Tela 6.9, 12GB RAM, AI Inteligência Artificial, IP68, S-Pen, Snapdragon 8 Elite e 4 Câmeras","Smartphone Samsung Galaxy S25 Ultra Titânio Preto 256GB, Tela 6.9, 12GB RAM, AI Inteligência Artificial, IP68, S-Pen, Snapdragon 8 Elite e 4 Câmeras",135411,SAMSUNG,7892509139700,8575.62,9221.1,8575.62,https://schema.org/InStock,cnl223,https://fastshopbr.vtexassets.com/arquivos/ids/3987511/17707177563222.jpg?v=639063201797300000,smartphone-samsung-galaxy-s25-ultra-titanio-preto-256gb-tela-6-9-12gb-ram-ai-inteligencia-artificial-ip68-s-pen-snapdragon-8-elite-e-4-cameras-135411-143921,Bivolt,
galaxy s25,147825,147825,"Smartphone Samsung Galaxy S25 FE 5G Tela 6,7 AMOLED 256GB 8GB RAM Câmera 50MP Azul-Marinho","Smartphone Samsung Galaxy S25 FE 5G Tela 6,7 AMOLED 256GB 8GB RAM Câmera 50MP Azul-Marinho",139116,SAMSUNG,7892509145022,4091.05,4398.98,4091.05,https://schema.org/InStock,cnl222,https://fastshopbr.vtexassets.com/arquivos/ids/4008139/17708182577529.jpg?v=639064150716870000,smartphone-samsung-galaxy-s25-fe-5g-tela-67-amoled-256gb-8gb-ram-camera-50mp-azul-marinho-139116-147825,Bivolt,
galaxy s25,143890,143890,"Smartphone Samsung Galaxy S25 Ultra Titânio Azul 256GB, Tela 6.9"", 12GB RAM, AI Inteligência Artificial, IP68, S-Pen, Snapdragon 8 Elite e 4 Câmeras","Smartphone Samsung Galaxy S25 Ultra Titânio Azul 256GB, Tela 6.9"", 12GB RAM, AI Inteligência Artificial, IP68, S-Pen, Snapdragon 8 Elite e 4 Câmeras",135380,SAMSUNG,7892509139625,8575.64,9221.12,8575.64,https://schema.org/InStock,cnl223,https://fastshopbr.vtexassets.com/arquivos/ids/3998438/17707179785877.jpg?v=639063544988930000,smartphone-samsung-galaxy-s25-ultra-titanio-azul-256gb-tela-6-9-12gb-ram-ai-inteligencia-artificial-ip68-s-pen-snapdragon-8-elite-e-4-cameras-135380-143890,Bivolt,
galaxy s25,147641,147641,"Smartphone Samsung Galaxy S25 5G Prata 256GB, Tela de 6.2"", 12GB RAM, AI Inteligência Artificial, IP68, Processador Snapdragon 8 Elite e Câmera Tripla","Smartphone Samsung Galaxy S25 5G Prata 256GB, Tela de 6.2"", 12GB RAM, AI Inteligência Artificial, IP68, Processador Snapdragon 8 Elite e Câmera Tripla",138936,SAMSUNG,7892509139830,4648.96,4998.88,4648.96,https://schema.org/InStock,cnl222,https://fastshopbr.vtexassets.com/arquivos/ids/4088296/17710047026636.jpg?v=639070211363000000,smartphone-samsung-galaxy-s25-5g-prata-256gb-tela-de-6-2--12gb-ram-ai-inteligencia-artificial-ip68-processador-snapdragon-8-elite-e-camera-tripla-138936-147641,Bivolt,
galaxy s25,143912,143912,"Smartphone Samsung Galaxy S25 FE 5G Tela 6,7” AMOLED 256GB 8GB RAM Câmera 50MP Azul-Marinho","Smartphone Samsung Galaxy S25 FE 5G Tela 6,7” AMOLED 256GB 8GB RAM Câmera 50MP Azul-Marinho",135402,SAMSUNG,7892509145022,4091.05,4553.33,4091.05,https://schema.org/InStock,cnl223,https://fastshopbr.vtexassets.com/arquivos/ids/5059722/17816026908392.jpg?v=639172161723500000,smartphone-samsung-galaxy-s25-fe-5g-tela-67”-amoled-256gb-8gb-ram-camera-50mp-azul-marinho-135402-143912,Bivolt,
galaxy s25,147663,147663,"Smartphone Samsung Galaxy S25 Ultra Titânio Preto 256GB, Tela 6.9"", 12GB RAM, AI Inteligência Artificial, IP68, S-Pen, Snapdragon 8 Elite e 4 Câmeras","Smartphone Samsung Galaxy S25 Ultra Titânio Preto 256GB, Tela 6.9"", 12GB RAM, AI Inteligência Artificial, IP68, S-Pen, Snapdragon 8 Elite e 4 Câmeras",138953,SAMSUNG,7892509139700,8575.62,9221.1,8575.62,https://schema.org/InStock,cnl222,https://fastshopbr.vtexassets.com/arquivos/ids/3987498/17707160210355.jpg?v=639063201686070000,smartphone-samsung-galaxy-s25-ultra-titanio-preto-256gb-tela-6-9--12gb-ram-ai-inteligencia-artificial-ip68-s-pen-snapdragon-8-elite-e-4-cameras-138953-147663,Bivolt,
galaxy s25,147649,147649,"Smartphone Samsung Galaxy S25 Ultra Titânio Azul 256GB, Tela 6.9"", 12GB RAM, AI Inteligência Artificial, IP68, S-Pen, Snapdragon 8 Elite e 4 Câmeras","Smartphone Samsung Galaxy S25 Ultra Titânio Azul 256GB, Tela 6.9"", 12GB RAM, AI Inteligência Artificial, IP68, S-Pen, Snapdragon 8 Elite e 4 Câmeras",138939,SAMSUNG,7892509139625,8575.64,9221.12,8575.64,https://schema.org/InStock,cnl222,https://fastshopbr.vtexassets.com/arquivos/ids/3998527/17707161013062.jpg?v=639063545465130000,smartphone-samsung-galaxy-s25-ultra-titanio-azul-256gb-tela-6-9--12gb-ram-ai-inteligencia-artificial-ip68-s-pen-snapdragon-8-elite-e-4-cameras-138939-147649,Bivolt,
