termo_busca,id,nome,modelo,fabricante,categoria,vendedor,seller_id,preco_original,preco_venda,desconto,quantidade,avaliacao,qtd_avaliacoes,disponivel,marketplace,oferta,frete_gratis,imagem,thumbnail,produto_url
galaxy s26,1029920,"Celular Samsung Galaxy S26 Ultra De 512gb 12gb Ram De 6.9"" 200+50+10+50mp 12mp - Preto",celular-samsung-galaxy-s26-ultra-sm-s948b-nfc-dual-sim-de-512gb-12gb-ram-de-6-9-200-50-10-50mp-12mp-preto,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,NOVA ERA COMERCIO DE CELULARES LTDA,16116,8887.78,7999.0,10,27,0.0,0,True,True,True,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1029920/Celular-Samsung-Galaxy-S26-Ultra-De-512gb-12gb-Ram-De-6-9-200-50-10-50mp-12mp-Preto_1784235516.webp,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1029920/medium/Celular-Samsung-Galaxy-S26-Ultra-De-512gb-12gb-Ram-De-6-9-200-50-10-50mp-12mp-Preto_1784235516.webp,https://www.kabum.com.br/produto/1029920
galaxy s26,1007575,"Smartphone Samsung Galaxy S26, 256GB, 12GB RAM, Octa Core, Câmera Tripla de 50MP, Tela de 6.3"", Violeta - SM-S942BZVSZTO",smartphone-samsung-galaxy-s26-256gb-12gb-ram-octa-core-camera-tripla-de-50mp-tela-de-6-3-violeta-sm-s942bzvszto,Samsung,Celular & Smartphone/Smartphones,Magalu,1000,5332.22,4799.0,10,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/magalu/1007575/Samsung-Galaxy-S26-Violeta-5G-256GB-Galaxy-AI-6-3-12GB-RAM-C-m-Tripla-50-12-10MP-Bateria-4300mAh-Dual-Chip_1779803617.jpg,https://images.kabum.com.br/produtos/fotos/magalu/1007575/medium/Samsung-Galaxy-S26-Violeta-5G-256GB-Galaxy-AI-6-3-12GB-RAM-C-m-Tripla-50-12-10MP-Bateria-4300mAh-Dual-Chip_1779803617.jpg,https://www.kabum.com.br/produto/1007575
galaxy s26,1007561,"Smartphone Samsung Galaxy S26, 256GB, 12GB RAM, 5G, Inteligência Artificial, Câmera Tripla de 50MP, Tela de 6.3"", Branco - SM-S942BZWSZTO",smartphone-samsung-galaxy-s26-256gb-12gb-ram-5g-inteligencia-artificial-camera-tripla-de-50mp-tela-de-6-3-branco-sm-s942bzwszto,Samsung,Celular & Smartphone/Smartphones,Magalu,1000,5332.22,4799.0,10,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/1007561/samsung-galaxy-s26-256gb_1779803088_original.jpg,https://images.kabum.com.br/produtos/fotos/1007561/samsung-galaxy-s26-256gb_1779803088_m.jpg,https://www.kabum.com.br/produto/1007561
galaxy s26,1007578,"Smartphone Samsung Galaxy S26, 256GB, 12GB RAM, Octa Core, Câmera Tripla de 50MP, Tela de 6.3"", Azul - SM-S942BLBSZTO",smartphone-samsung-galaxy-s26-256gb-12gb-ram-octa-core-camera-tripla-de-50mp-tela-de-6-3-azul-sm-s942blbszto,Samsung,Celular & Smartphone/Smartphones,Magalu,1000,5332.22,4799.0,10,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/magalu/1007578/Samsung-Galaxy-S26-Azul-5G-256GB-Galaxy-AI-6-3-12GB-RAM-C-m-Tripla-50-12-10MP-Bateria-4300mAh-Dual-Chip_1776108207.jpg,https://images.kabum.com.br/produtos/fotos/magalu/1007578/medium/Samsung-Galaxy-S26-Azul-5G-256GB-Galaxy-AI-6-3-12GB-RAM-C-m-Tripla-50-12-10MP-Bateria-4300mAh-Dual-Chip_1776108207.jpg,https://www.kabum.com.br/produto/1007578
galaxy s26,1048105,"Celular Samsung Galaxy S26 Ultra De 256gb 12gb Ram De 6.9"" 200+50+10+50mp 12mp - Preto",celular-samsung-galaxy-s26-ultra-de-256gb-12gb-ram-de-6-9-200-50-10-50mp-12mp-preto,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,NOVA ERA COMERCIO DE CELULARES LTDA,16116,7998.89,7199.0,10,34,0.0,0,True,True,True,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1048105/Celular-Samsung-Galaxy-S26-Ultra-De-256gb-12gb-Ram-De-6-9-200-50-10-50mp-12mp-Preto_1784235515.webp,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1048105/medium/Celular-Samsung-Galaxy-S26-Ultra-De-256gb-12gb-Ram-De-6-9-200-50-10-50mp-12mp-Preto_1784235515.webp,https://www.kabum.com.br/produto/1048105
galaxy s26,1007564,"Samsung Galaxy S26 Ultra 5G 512GB Galaxy AI Violeta 6,9"" 12GB RAM Câm. Quádrupla 200+50+10+50MP Bateria 5000mAh Dual Chip",samsung-galaxy-s26-ultra-5g-512gb-galaxy-ai-violeta-6-9-12gb-ram-cam-quadrupla-200-50-10-50mp-bateria-5000mah-dual-chip,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,Magalu,1000,13099.0,11789.1,10,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/magalu/1007564/Samsung-Galaxy-S26-Ultra-5G-512GB-Galaxy-AI-Violeta-6-9-12GB-RAM-C-m-Qu-drupla-200-50-10-50MP-Bateria-5000mAh-Dual-Chip_1783102321.jpg,https://images.kabum.com.br/produtos/fotos/magalu/1007564/medium/Samsung-Galaxy-S26-Ultra-5G-512GB-Galaxy-AI-Violeta-6-9-12GB-RAM-C-m-Qu-drupla-200-50-10-50MP-Bateria-5000mAh-Dual-Chip_1783102321.jpg,https://www.kabum.com.br/produto/1007564
galaxy s26,1007577,"Samsung Galaxy S26 Ultra 5G, 512GB, Galaxy AI, 6.9"", 12GB RAM, Câm. Quádrupla 200+50+10+50MP, Bateria 5000mAh, Dual Chip, Branco",samsung-galaxy-s26-ultra-5g-512gb-galaxy-ai-6-9-12gb-ram-cam-quadrupla-200-50-10-50mp-bateria-5000mah-dual-chip-branco,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,Magalu,1000,13099.0,11789.1,10,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/magalu/1007577/Samsung-Galaxy-S26-Ultra-5G-512GB-Galaxy-AI-Branco-6-9-12GB-RAM-C-m-Qu-drupla-200-50-10-50MP-Bateria-5000mAh-Dual-Chip_1783102275.jpg,https://images.kabum.com.br/produtos/fotos/magalu/1007577/medium/Samsung-Galaxy-S26-Ultra-5G-512GB-Galaxy-AI-Branco-6-9-12GB-RAM-C-m-Qu-drupla-200-50-10-50MP-Bateria-5000mAh-Dual-Chip_1783102275.jpg,https://www.kabum.com.br/produto/1007577
galaxy s26,1007574,"Samsung Galaxy S26+ 5G, 512GB, Galaxy AI, 6.7"", 12GB RAM, Câm. Tripla 50+12+10MP, Bateria 4900mAh, Dual Chip, Preto",samsung-galaxy-s26-5g-512gb-galaxy-ai-6-7-12gb-ram-cam-tripla-50-12-10mp-bateria-4900mah-dual-chip-preto,Samsung,Celular & Smartphone/Smartphones,Magalu,1000,10799.0,9719.1,10,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/1007574/samsung-galaxy-s26-512g_1772154517_original.jpg,https://images.kabum.com.br/produtos/fotos/1007574/samsung-galaxy-s26-512g_1772154517_m.jpg,https://www.kabum.com.br/produto/1007574
galaxy s26,1007565,"Samsung Galaxy S26+ 5G, 512GB, 12GB RAM, Galaxy AI, 6,7"", Câm. Tripla 50+12+10MP, Bateria 4900mAh, Dual Chip, Violeta",samsung-galaxy-s26-5g-512gb-12gb-ram-galaxy-ai-6-7-cam-tripla-50-12-10mp-bateria-4900mah-dual-chip-violeta,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,Magalu,1000,10799.0,9719.1,10,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/magalu/1007565/Samsung-Galaxy-S26-Violeta-5G-512GB-Galaxy-AI-6-7-12GB-RAM-C-m-Tripla-50-12-10MP-Bateria-4900mAh-Dual-Chip_1783102725.jpg,https://images.kabum.com.br/produtos/fotos/magalu/1007565/medium/Samsung-Galaxy-S26-Violeta-5G-512GB-Galaxy-AI-6-7-12GB-RAM-C-m-Tripla-50-12-10MP-Bateria-4900mAh-Dual-Chip_1783102725.jpg,https://www.kabum.com.br/produto/1007565
galaxy s26,1007560,"Smartphone Samsung Galaxy S26 Ultra, 256GB, 12GB RAM, Snapdragon 8 Elite, Câmera Quádrupla 200MP, Tela de 6.9"", Azul",smartphone-samsung-galaxy-s26-ultra-256gb-12gb-ram-snapdragon-8-elite-camera-quadrupla-200mp-tela-de-6-9-azul,Samsung,Celular & Smartphone/Acessórios para Smartphones/Carregadores,Magalu,1000,11499.0,10349.1,10,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/1007560/samsung-galaxy-s26-ultra_1780942513_original.jpg,https://images.kabum.com.br/produtos/fotos/1007560/samsung-galaxy-s26-ultra_1780942513_m.jpg,https://www.kabum.com.br/produto/1007560
