termo_busca;id;nome;modelo;categoria;sub_categoria;familia;preco_original;preco_venda;desconto;moeda;estoque;avaliacao;qtd_avaliacoes;data_lancamento;url;imagem
Galaxy S26;SM-S942BZVUZTO;Galaxy S26;SM-S942BZVUZTO;Mobile;Smartphones;Galaxy S26;9099.0;8189.1;10.0;BRL;inStock;4.7;2607;2026-02-25 00:00:00;/br/smartphones/galaxy-s/galaxy-s26-cobalt-violet-512gb-sm-s942bzvuzto/;
Galaxy S26;SM-S741BLGKZTO;Galaxy S26 FE;SM-S741BLGKZTO;Mobile;Smartphones;Galaxy S26 FE;6299.0;5669.1;10.0;BRL;inStock;5.0;60;2026-08-27 00:00:00;/br/smartphones/galaxy-s/galaxy-s26-fe-pistachio-256gb-sm-s741blgkzto/;
Galaxy S26;SM-S948BZVKZTO;Galaxy S26 Ultra;SM-S948BZVKZTO;Mobile;Smartphones;Galaxy S26 Ultra;13099.0;11789.1;10.0;BRL;inStock;4.8;34618;2026-02-25 00:00:00;/br/smartphones/galaxy-s/galaxy-s26-ultra-cobalt-violet-512gb-sm-s948bzvkzto/;
Galaxy S26;SM-S948BZDKZTO;Galaxy S26 Ultra (Exclusiva Samsung.com);SM-S948BZDKZTO;Mobile;Smartphones;Galaxy S26 Ultra (Exclusiva Samsung.com);13099.0;11789.1;10.0;BRL;inStock;4.8;34618;2026-02-25 00:00:00;/br/smartphones/galaxy-s/galaxy-s26-ultra-pink-gold-512gb-sm-s948bzdkzto/;
Galaxy S26;SM-S947BZVKZTO;Galaxy S26+;SM-S947BZVKZTO;Mobile;Smartphones;Galaxy S26+;10799.0;9719.1;10.0;BRL;inStock;4.8;2206;2026-02-25 00:00:00;/br/smartphones/galaxy-s/galaxy-s26-plus-cobalt-violet-512gb-sm-s947bzvkzto/;
Galaxy S26;SM-S947BZDKZTO;Galaxy S26+ (Exclusiva Samsung.com);SM-S947BZDKZTO;Mobile;Smartphones;Galaxy S26+ (Exclusiva Samsung.com);10799.0;9719.1;10.0;BRL;inStock;4.8;2206;2026-02-25 00:00:00;/br/smartphones/galaxy-s/galaxy-s26-plus-pink-gold-512gb-sm-s947bzdkzto/;
Galaxy S26;SM-S942BZDUZTO;Galaxy S26 (Exclusiva Samsung.com);SM-S942BZDUZTO;Mobile;Smartphones;Galaxy S26 (Exclusiva Samsung.com);9099.0;8189.1;10.0;BRL;inStock;4.7;2607;2026-02-25 00:00:00;/br/smartphones/galaxy-s/galaxy-s26-pink-gold-512gb-sm-s942bzduzto/;
Galaxy S25;SM-S931BLBKZTO;Galaxy S25;SM-S931BLBKZTO;Mobile;Smartphones;Galaxy S25;7299.0;6569.1;10.0;BRL;inStock;4.7;19191;2025-01-22 00:00:00;/br/smartphones/galaxy-s/galaxy-s25-icyblue-256gb-sm-s931blbkzto/;
Galaxy S25;SM-S938BAKKZTO;Galaxy S25 Ultra (Exclusiva Samsung.com);SM-S938BAKKZTO;Mobile;Smartphones;Galaxy S25 Ultra (Exclusiva Samsung.com);6899.0;6209.1;10.0;BRL;inStock;4.8;33229;2025-01-22 00:00:00;/br/smartphones/galaxy-s/galaxy-s25-ultra-titanium-jetblack-512gb-sm-s938bakkzto/;
Galaxy S25;SM-S938BZBKZTO;Galaxy S25 Ultra;SM-S938BZBKZTO;Mobile;Smartphones;Galaxy S25 Ultra;6899.0;6209.1;10.0;BRL;inStock;4.8;33229;2025-01-22 00:00:00;/br/smartphones/galaxy-s/galaxy-s25-ultra-titanium-silverblue-512gb-sm-s938bzbkzto/;
Galaxy S25;SM-S731BDBKZTO;Galaxy S25 FE;SM-S731BDBKZTO;Mobile;Smartphones;Galaxy S25 FE;5799.0;5219.1;10.0;BRL;inStock;4.7;5088;2025-09-24 00:00:00;/br/smartphones/galaxy-s/galaxy-s25-fe-navy-256gb-sm-s731bdbkzto/;
Galaxy S25;SM-S936BDBJZTO;Galaxy S25+;SM-S936BDBJZTO;Mobile;Smartphones;Galaxy S25+;7999.0;7199.1;10.0;BRL;inStock;4.6;5153;2025-01-22 00:00:00;/br/smartphones/galaxy-s/galaxy-s25-plus-navy-256gb-sm-s936bdbjzto/;
