config,menor_preco,loja_menor_preco,maior_preco,loja_maior_preco,preco_medio,preco_mediano,qtd_ofertas,economia_reais,economia_percentual
Galaxy S25 256GB,3031.29,Kabum,8575.64,FastShop,5211.49,5130.53,40,5544.35,64.65
Galaxy S25 512GB,3499.0,FastShop,9499.99,Kabum,4988.52,4017.55,7,6000.99,63.17
Galaxy S24 256GB,2036.31,Kabum,5399.0,Kabum,3732.78,3912.97,8,3362.69,62.28
Galaxy S25,5219.1,Samsung,9539.1,Samsung,6824.1,6389.1,6,4320.0,45.29
Galaxy A57 128GB,1799.0,Kabum,3239.1,Samsung,2317.82,2241.1,8,1440.1,44.46
Galaxy S26 256GB,4799.0,Kabum,8555.08,FastShop,6198.35,5940.63,7,3756.08,43.9
Galaxy A37 128GB,1699.0,Kabum,2969.1,Samsung,2305.93,2427.31,13,1270.1,42.78
Galaxy S26,5669.1,Samsung,9719.1,Samsung,8294.1,8234.1,6,4050.0,41.67
Galaxy S24 512GB,4427.97,Kabum,7109.1,Kabum,5871.62,5974.7,4,2681.13,37.71
Galaxy S26 Ultra 512GB,7999.0,Kabum,11789.1,Kabum,10841.58,11789.1,4,3790.1,32.15
Galaxy S26 Ultra 256GB,7199.0,Kabum,10349.1,Kabum,9294.84,9815.64,4,3150.1,30.44
Galaxy S25 128GB,2999.0,Kabum,4299.0,FastShop,3692.0,3899.99,5,1300.0,30.24
Galaxy A37 256GB,1889.0,Kabum,2685.64,FastShop,2240.21,2098.9,8,796.64,29.66
Galaxy S26 Ultra,10349.1,Kabum,13949.1,Kabum,11429.1,11069.1,6,3600.0,25.81
Galaxy A57 256GB,2299.0,Kabum,2299.0,Kabum,2299.0,2299.0,4,0.0,0.0
Galaxy S26 512GB,9719.1,Kabum,9719.1,Kabum,9719.1,9719.1,4,0.0,0.0
Galaxy Z Flip8,9719.1,Samsung,9719.1,Samsung,9719.1,9719.1,2,0.0,0.0
Galaxy Z Fold8,12779.1,Samsung,12779.1,Samsung,12779.1,12779.1,2,0.0,0.0
Galaxy Z Fold8 Ultra,14579.1,Samsung,14579.1,Samsung,14579.1,14579.1,2,0.0,0.0
